Symbol,Name,Stock Exchange,RBICS Economy,SIC Code
GPN,Global Payments Inc.,NYSE,Finance,7389
GPRE,Green Plains Inc.,NASDAQ,Non-Energy Materials,2869
GPS,"Gap, Inc.",NYSE,Consumer Cyclicals,5651
GRMN,Garmin Ltd.,NASDAQ,Technology,3812
GRUB,"Grubhub, Inc.",NYSE,Consumer Services,5963
GS,"Goldman Sachs Group, Inc.",NYSE,Finance,6211
GT,Goodyear Tire & Rubber Company,NASDAQ,Consumer Cyclicals,3011
GTLS,"Chart Industries, Inc.",NASDAQ,Industrials,3443
GTY,Getty Realty Corp.,NYSE,Finance,6798
GVA,Granite Construction Incorporated,NYSE,Industrials,1611
GWB,"Great Western Bancorp, Inc.",NYSE,Finance,6022
GWW,"W.W. Grainger, Inc.",NYSE,Industrials,5085
HA,"Hawaiian Holdings, Inc.",NASDAQ,Industrials,4512
HAE,Haemonetics Corporation,NYSE,Healthcare,3841
HAFC,Hanmi Financial Corporation,NASDAQ,Finance,6021
HAIN,"Hain Celestial Group, Inc.",NASDAQ,Consumer Non-Cyclicals,5149
HAL,Halliburton Company,NYSE,Energy,1382
HALO,"Halozyme Therapeutics, Inc.",NASDAQ,Healthcare,2836
HAS,"Hasbro, Inc.",NASDAQ,Consumer Cyclicals,3944
HAYN,"Haynes International, Inc.",NASDAQ,Non-Energy Materials,3356
HBAN,Huntington Bancshares Incorporated,NASDAQ,Finance,6021
HBI,Hanesbrands Inc.,NYSE,Consumer Cyclicals,2322
HCA,HCA Healthcare Inc,NYSE,Healthcare,8062
HCC,"Warrior Met Coal, Inc.",NYSE,Energy,1221
HCI,"HCI Group, Inc.",NYSE,Finance,6331
HCSG,"Healthcare Services Group, Inc.",NASDAQ,Consumer Non-Cyclicals,7299
HD,"Home Depot, Inc.",NYSE,Consumer Cyclicals,5211
HE,"Hawaiian Electric Industries, Inc.",NYSE,Utilities,4911
HELE,Helen of Troy Limited,NASDAQ,Consumer Non-Cyclicals,3634
HES,Hess Corporation,NYSE,Energy,1311
HFC,HollyFrontier Corporation,NYSE,Energy,2911
HFWA,Heritage Financial Corporation,NASDAQ,Finance,6022
HI,"Hillenbrand, Inc.",NYSE,Industrials,3999
HIBB,"Hibbett Sports, Inc.",NASDAQ,Consumer Cyclicals,5941
HIG,"Hartford Financial Services Group, Inc.",NYSE,Finance,6331
HII,"Huntington Ingalls Industries, Inc.",NYSE,Industrials,3731
HIW,"Highwoods Properties, Inc.",NYSE,Finance,6798
HLIT,Harmonic Inc.,NASDAQ,Technology,3663
HLT,Hilton Worldwide Holdings Inc,NYSE,Consumer Services,7011
HLX,"Helix Energy Solutions Group, Inc.",NYSE,Energy,1389
HMN,Horace Mann Educators Corporation,NYSE,Finance,6331
HMST,"HomeStreet, Inc.",NASDAQ,Finance,6022
HMSY,HMS Holdings Corp.,NASDAQ,Healthcare,7389
HNGR,"Hanger, Inc.",NYSE,Healthcare,8031
HNI,HNI Corporation,NYSE,Consumer Non-Cyclicals,2522
HOG,"Harley-Davidson, Inc.",NYSE,Consumer Cyclicals,3751
HOLX,"Hologic, Inc.",NASDAQ,Healthcare,3844
HOMB,"Home BancShares, Inc.",NASDAQ,Finance,6022
HON,Honeywell International Inc.,NYSE,Industrials,3724
HOPE,"Hope Bancorp, Inc.",NASDAQ,Finance,6021
HP,"Helmerich & Payne, Inc.",NYSE,Energy,1381
HPE,Hewlett Packard Enterprise Co.,NYSE,Technology,7372
HPP,"Hudson Pacific Properties, Inc.",NYSE,Finance,6798
HPQ,HP Inc.,NYSE,Technology,3571
HQY,HealthEquity Inc,NASDAQ,Business Services,7389
HR,Healthcare Realty Trust Incorporated,NYSE,Finance,6798
HRB,"H&R Block, Inc.",NYSE,Business Services,7291
HRC,"Hill-Rom Holdings, Inc.",NYSE,Healthcare,3841
HRL,Hormel Foods Corporation,NYSE,Consumer Non-Cyclicals,2011
HSC,Harsco Corporation,NYSE,Non-Energy Materials,3312
