Month,Ticker,Company_name,Stock_exchange,Industry,SIC_Code,ESG_Rating,ESG_Score
10,APEI,American Public Education Inc,NASDAQ,Academic & Educational Services,8221,C-,33.28433058
10,APH,Amphenol Corp,NYSE,Technology,3678,B+,69.36924319
10,APOG,Apogee Enterprises Inc,NASDAQ,Consumer Cyclicals,3231,C,38.82855929
10,APTV,Aptiv PLC,NYSE,Consumer Cyclicals,3714,B,61.4379195
10,ARCB,ArcBest Corp,NASDAQ,Industrials,4213,C,39.25297912
10,ARE,Alexandria Real Estate Equities Inc,NYSE,Real Estate,6798,B+,68.99632815
10,ARI,Apollo Commercial Real Estate Finance Inc,NYSE,Real Estate,6798,C,37.67435094
10,ARLO,Arlo Technologies Inc,NYSE,Technology,3651,C+,47.44549148
10,AROC,Archrock Inc,NYSE,Energy,1389,C-,32.00071971
10,ARR,ARMOUR Residential REIT Inc,NYSE,Real Estate,6798,D+,17.9743962
10,ARW,Arrow Electronics Inc,NYSE,Technology,5065,C+,48.47299101
10,ARWR,Arrowhead Pharmaceuticals Inc,NASDAQ,Healthcare,8731,D+,16.88993253
10,ASB,Associated Banc-Corp,NYSE,Financials,6021,C+,49.56220333
10,ASGN,ASGN Inc,NYSE,Technology,7361,C,37.19655269
10,ASH,Ashland Global Holdings Inc.,NYSE,Basic Materials,2833,B+,69.17615782
10,ASIX,AdvanSix Inc,NYSE,Basic Materials,2821,B-,53.29281222
10,ASTE,Astec Industries Inc,NASDAQ,Industrials,2951,C,39.85241521
10,ATGE,Adtalem Global Education Inc,NYSE,Academic & Educational Services,8221,B-,54.995419
10,ATI,Allegheny Technologies Inc,NYSE,Industrials,3356,C+,48.05594974
10,ATNI,ATN International Inc,NASDAQ,Technology,4813,D+,19.92036039
10,ATO,Atmos Energy Corp,NYSE,Utilities,4924,C-,28.7473611
10,ATR,Aptargroup Inc,NYSE,Basic Materials,3085,B,62.4256138
10,ATVI,Activision Blizzard Inc,NASDAQ,Technology,7372,B,61.6655393
10,AVA,Avista Corp,NYSE,Utilities,4931,C,35.65702585
10,AVAV,AeroVironment Inc,NASDAQ,Industrials,3721,C,38.40027421
10,AVB,Avalonbay Communities Inc,NYSE,Real Estate,6798,A-,78.46756811
10,AVD,American Vanguard Corp,NYSE,Basic Materials,2879,D+,22.07783752
10,AVGO,Broadcom Inc,NASDAQ,Technology,3674,C+,48.21514006
10,AVNS,Avanos Medical Inc,NYSE,Healthcare,3841,B-,56.49356507
10,AVNT,Avient Corp,NYSE,Basic Materials,2821,C-,32.9636303
10,AVT,Avnet Inc,NASDAQ,Technology,5065,C+,49.6813136
10,AVY,Avery Dennison Corp,NYSE,Basic Materials,2672,B-,54.79202347
10,AWK,American Water Works Company Inc,NYSE,Utilities,4941,B,61.07816038
10,AWR,American States Water Co,NYSE,Utilities,4941,C+,47.89755037
10,AX,Axos Financial Inc,NYSE,Financials,6021,C-,27.18379888
10,AXL,American Axle & Manufacturing Holdings Inc,NYSE,Consumer Cyclicals,3714,B,63.29424575
10,AXP,American Express Co,NYSE,Financials,6153,A-,77.92499493
10,AYI,Acuity Brands Inc,NYSE,Consumer Cyclicals,3646,C,40.99309341
10,AZO,Autozone Inc,NYSE,Consumer Cyclicals,5531,B,60.47969225
10,AZZ,AZZ Inc,NYSE,Industrials,3613,C,41.19557931
10,B,Barnes Group Inc,NYSE,Industrials,3499,C,37.58753408
10,BA,Boeing Co,NYSE,Industrials,3721,A-,79.45166593
10,BAC,Bank of America Corp,NYSE,Financials,6021,A-,80.04704691
10,BANC,Banc of California Inc,NYSE,Financials,6021,C,35.73436458
10,BANF,BancFirst Corp,NASDAQ,Financials,6022,D,15.97558006
10,BANR,Banner Corp,NASDAQ,Financials,6021,C,36.39440186
10,BAX,Baxter International Inc,NYSE,Healthcare,3841,B+,74.40292013
10,BBBY,Bed Bath & Beyond Inc,NASDAQ,Consumer Cyclicals,5719,B-,56.55909231
10,BBY,Best Buy Co Inc,NYSE,Consumer Cyclicals,5731,B,61.90291801
10,BC,Brunswick Corp,NYSE,Consumer Cyclicals,3519,B+,73.66530518
10,BCC,Boise Cascade Co,NYSE,Basic Materials,5031,C,35.60248817
10,BCEI,Bonanza Creek Energy Inc,NYSE,Energy,1311,D+,17.91861444
10,BCO,Brinks Co,NYSE,Industrials,7382,C-,29.13917279
10,BCOR,Blucora Inc,NASDAQ,Financials,7374,C,34.81747336
10,BCPC,Balchem Corp,NASDAQ,Consumer Non-Cyclicals,2869,C-,33.32741358
10,BDC,Belden Inc,NYSE,Technology,4833,C,38.89419944
10,BDN,Brandywine Realty Trust,NYSE,Real Estate,6798,B-,53.53009153
10,BDX,Becton Dickinson and Co,NYSE,Healthcare,3841,A-,76.17347754
10,BEAT,BioTelemetry Inc,NASDAQ,Healthcare,3845,C,38.89731983
10,BELFB,Bel Fuse Inc,NASDAQ,Technology,3677,C,39.69395967
10,BEN,Franklin Resources Inc,NYSE,Financials,6282,B,58.40410474
10,BF.B,Brown-Forman Corp,NYSE,Consumer Non-Cyclicals,2085,B-,55.94044444
10,BFS,Saul Centers Inc,NYSE,Real Estate,6798,D,12.96667981
10,BGS,B&G Foods Inc,NYSE,Consumer Non-Cyclicals,2033,C+,42.17716808
10,BHE,Benchmark Electronics Inc,NYSE,Technology,3571,C-,33.24014531
10,BHF,Brighthouse Financial Inc,NASDAQ,Financials,6311,D+,18.83965655
10,BHLB,Berkshire Hills Bancorp Inc,NYSE,Financials,6712,C+,42.53867627
10,BIG,Big Lots Inc,NYSE,Consumer Cyclicals,5331,C-,32.57578545
10,BIIB,Biogen Inc,NASDAQ,Healthcare,2836,A-,75.43687718
10,BIO,Bio Rad Laboratories Inc,NYSE,Healthcare,3826,C,38.11972904
10,BJ,BJ's Wholesale Club Holdings Inc,NYSE,Consumer Cyclicals,5399,D+,23.47585759
10,BJRI,BJ's Restaurants Inc,NASDAQ,Consumer Cyclicals,5812,C+,46.21109766
10,BK,Bank of New York Mellon Corp,NYSE,Financials,6282,B+,69.63998805
10,BKE,Buckle Inc,NYSE,Consumer Cyclicals,5651,C+,48.8850631
10,BKH,Black Hills Corp,NYSE,Utilities,4924,D+,24.49827457
10,BKNG,Booking Holdings Inc,NASDAQ,Consumer Cyclicals,4724,C+,42.37116998
10,BKR,Baker Hughes Co,NYSE,Energy,1389,A-,82.05098651
10,BKU,BankUnited Inc,NYSE,Financials,6021,C+,47.78555733
10,BLD,TopBuild Corp,NYSE,Industrials,1731,C,38.41475235
10,BLDR,Builders FirstSource Inc,NASDAQ,Consumer Cyclicals,2421,D+,23.93547936
10,BLK,BlackRock Inc,NYSE,Financials,6282,B+,72.24639839
10,BLKB,Blackbaud Inc,NASDAQ,Technology,7372,C+,42.77462062
10,BLL,Ball Corp,NYSE,Basic Materials,3411,B+,73.42734299
10,BLMN,Bloomin' Brands Inc,NASDAQ,Consumer Cyclicals,5812,C,37.55995192
10,BMI,Badger Meter Inc,NYSE,Industrials,3824,C+,48.65368483
10,BMY,Bristol-Myers Squibb Co,NYSE,Healthcare,2834,B+,74.98774708
10,BNED,Barnes & Noble Education Inc,NYSE,Consumer Cyclicals,5942,C,34.25812388
10,BOH,Bank of Hawaii Corp,NYSE,Financials,6022,B-,54.47991439
10,BOOM,DMC Global Inc,NASDAQ,Basic Materials,1389,C-,26.29794528
10,BOOT,Boot Barn Holdings Inc,NYSE,Consumer Cyclicals,5661,C,34.97069134
10,BPFH,Boston Private Financial Holdings Inc,NASDAQ,Financials,6022,B-,58.24735052
10,BR,Broadridge Financial Solutions Inc,NYSE,Technology,7389,C+,45.88327346
10,BRC,Brady Corp,NYSE,Industrials,3999,C-,33.24076297
10,BRK.B,Berkshire Hathaway Inc,NYSE,Consumer Non-Cyclicals,6399,C,39.42006342
10,BRKL,Brookline Bancorp Inc,NASDAQ,Financials,6035,C-,25.63095188
10,BRKS,Brooks Automation Inc,NASDAQ,Technology,3559,C,34.9760455
10,BRO,Brown & Brown Inc,NYSE,Financials,6411,C-,32.50815034
10,BRX,Brixmor Property Group Inc,NYSE,Real Estate,6798,B+,74.41934544
10,BSIG,Brightsphere Investment Group Inc,NYSE,Financials,6282,C+,43.49772317
10,BSX,Boston Scientific Corp,NYSE,Healthcare,3841,A,84.53034577
10,BWA,Borgwarner Inc,NYSE,Consumer Cyclicals,3714,B-,55.08731053
10,BXP,Boston Properties Inc,NYSE,Real Estate,6798,B+,68.75888301
10,BXS,BancorpSouth Bank,NYSE,Financials,6022,C,41.50199896
10,BYD,Boyd Gaming Corp,NYSE,Consumer Cyclicals,7011,C+,43.51197489
10,C,Citigroup Inc,NYSE,Financials,6021,A,83.80845722
10,CABO,Cable One Inc,NYSE,Technology,4841,C,35.35005875
10,CACI,CACI International Inc,NYSE,Technology,7371,B-,53.365626
10,CADE,Cadence Bancorp,NYSE,Financials,6029,C,35.1959737
10,CAG,Conagra Brands Inc,NYSE,Consumer Non-Cyclicals,2096,B+,70.31297987
10,CAH,Cardinal Health Inc,NYSE,Consumer Non-Cyclicals,5122,B,36.80879863
10,CAKE,Cheesecake Factory Inc,NASDAQ,Consumer Cyclicals,5812,B,61.32462906
10,CAL,Caleres Inc,NYSE,Consumer Cyclicals,5661,C,37.71295544
10,CALM,Cal-Maine Foods Inc,NASDAQ,Consumer Non-Cyclicals,252,D,14.30807225
10,CAMP,CalAmp Corp,NASDAQ,Technology,3663,D+,22.75655437
10,CAR,Avis Budget Group Inc,NASDAQ,Industrials,7514,C,35.75537303
10,CASH,Meta Financial Group Inc,NASDAQ,Financials,6035,D,10.88785747
10,CASY,Caseys General Stores Inc,NASDAQ,Consumer Non-Cyclicals,5541,C,36.13952968
10,CAT,Caterpillar Inc,NYSE,Industrials,3531,B+,68.42430292
10,CATM,Cardtronics PLC,NASDAQ,Industrials,7389,C,36.13199131
10,CATO,Cato Corp,NYSE,Consumer Cyclicals,5621,C-,32.26246512
